subPlot,Block,Treatment,plot,Site,year,date,Measure,recorder,writer,Weather,Ach_mil,Aco_sep,Agr_cap,Agr_cap_cf,Agr_mer,Agr_mer_CF,Alc_alp,Alc_sp,Alc_sp_cf,Ant_alp,Ant_dio,Antennaria_sp,Ant_odo,Ane_nem,Arc_urv,Ast_alp,Ave_fle,Ave_fle_cf,Bar_alp,Bet_nan,Bet_pub,Bet_sp,Bis_viv,Bot_lun,Cal_vul,Cam_rot,Car_atr,Car_big,Car_big_cf,Car_cap,Car_cap_cf,Car_fla,Car_fla_CF,Car_lac,Car_lep,Car_nig,Car_nig_cf,Car_nor,Car_nor_cf,Car_pal,Car_pil,Car_pil_cf,Car_sax,Car_sp,Car_sp_den_lyse,Car_sp_smal,Car_vag,Car_vag_CF,Cer_alp,Cer_alp_cf,Cer_cer,Cer_cer_cf,Cer_fon,Cer _sp,Cer/sag_cf,Coel_vir,Dac_vir,Des_alp,Des_ces,Dip_alp,Dry_oct,Emp_her,Emp_nig,Epi_ana,Epi_ana_cf,Epi_nor,Epilobium_sp,Equ_arv,Equ_sci,Equ_sp,Eri_bor,Eri_sp,Eri_uni_cf,Eup_sp,Eup_str,Eup_wet,Fern,Fes_rub,Fes_rub_cf_kanskje_Ave_fle,Fes_ovi,Fes_viv,Fes_sp,Gal_bor,Gal_sp,Gen_ana,Gen_cam_cf,Gen_niv,Gen_riv,Gen_sp,Ger_syl,Geu_riv,Gym_dry,Hie_alp,Hie_sp,Hie_pil,Hie_vul,Hup_sel,Hup_app,Hyp_mac,Hyp_sel,Hyp_sp,Juncus_sp,Jun_tri,Jun_tri_CF,Leo_aut,Leu_aut_cf,Leo_sp,Leu_vul,Lot_cor,Luz_mul,Luz_spi,Lyc_alp,Lys_eur,Lyc_lyc,Lyc_sp,Nar_str,Oma_nor,Oma_sup,Oma_sp,Ort_sec,Orchid,Oxa_ace,Oxy_dig,Par_pal,Phl_alp,Pin_syl,Pin_vul,Poa_alp,Poa_pra,Poaceae_sp,Pot_cra,Pot_ere,Pru_vul,Pyr_min,Pyr_sp,Pyr_sp_IKKE_rotundifolia,Pyr_rot,Ran_acr,Ran_acr_cf,Ran_pyg,Ran_aur,Ranunculus,Rhi_sp,Rhi_min,Rum_ace,Rum_acl,Sag_sag,Sag_sp,Sal_lan,Sal_her,Sal_sp,Sau_alp,Sel_sel,Sel_sp,Sib_pro,Sib_pro_cf,Sil_aca,Sil_aca_cf,Sil_vul,Sol_vir,Ste_gra,Suc_pra,Tar_sp,Tha_alp,Tof_pus,Tri_ces,Tri_eur,Tri_fol,Tri_pra,Tri_rep,Tri_sp,Tri_spi,Vac_myr,Vac_uli,Vac_vit,Val_atr,Ver_alp,Ver_cha,Ver_cha_eller_Hyp_mac,Ver_off,Ver_ser_cf,Vio_can,Vio_can_cf,Vio_bif,Vio_pal,Vio_riv,Vio_tri_cf,Vio_sp,jamne,Unknown,Nid_juvenile,Nid_orchid,Nid seedling,moss,lichen,litter,soil,rock,poo,fungus,bare,logger,Veg_cover,Veg_height_mm,Moss_depth_mm,comments
1,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,,,,,,1,,,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,f,,,,,,,f,,,,,,,,,,15,5,10,,,,,,,,,,
2,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,,,,,,,,10,,20,,,,,,,,,,
3,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,25,5,30,,,,,,,,,,
4,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,1,,,,,1,,,,,,,,,,,,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,15,,10,,,,,,,,,,
5,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,15,,20,,,,,,,,,,
6,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,15,,20,,,,,,,,,,
7,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,f,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,50,,,,,,,,,,
8,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,,,,,,,,5,,25,,,,,,,,,,
9,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,WN,6,Lavisdalen,2021,,subPlot,SLO,SLO,cloudy,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,80,,90,,
