"site","plotID","warming","treatment","year","date","recorder","writer","name","value"
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","vegetation_cover",85
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","total_bryophyte_cover",14
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","total_litter_cover",26
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","total_lichen_cover",3
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","total_bare_ground_cover",3
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","total_poo_cover",0
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","total_rock_cover",0
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","total_fungus_cover",0
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","vegetation_height_mean",39
"Skjellingahaugen","Skj_7_5","W","C",2018,2018-08-21,"Eva Lieungh","Silje Ostmann","moss_depth_mean",16
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","vegetation_cover",65
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","total_bryophyte_cover",40
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","total_litter_cover",26
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","total_lichen_cover",5
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","total_bare_ground_cover",2
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","total_poo_cover",0
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","total_rock_cover",1
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","total_fungus_cover",0
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","vegetation_height_mean",30
"Skjellingahaugen","Skj_7_4","W","R",2018,2018-08-21,"Eva Lieungh & Silje Ostman","Silje Ostmann & Eva Lieungh","moss_depth_mean",17
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",80
